# Aggregate rate-distortion data for "BPG (4:4:4)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.023857, 0.783939
0.028540, 0.800621
0.034282, 0.815880
0.041183, 0.830978
0.049301, 0.845919
0.058861, 0.859465
0.070444, 0.871920
0.084175, 0.884832
0.100255, 0.896600
0.119211, 0.908020
0.140076, 0.917528
0.165529, 0.926932
0.193939, 0.935368
0.226882, 0.943184
0.264902, 0.950550
0.308004, 0.956814
0.353821, 0.962287
0.406663, 0.967124
0.465174, 0.971309
0.528513, 0.975060
0.602615, 0.978421
0.681227, 0.981216
0.763150, 0.983577
0.855122, 0.985761
0.954195, 0.987516
1.058729, 0.989023
1.178031, 0.990455
1.302895, 0.991701
1.427853, 0.992658
1.570484, 0.993543
1.724310, 0.994321
1.890798, 0.994994
2.085680, 0.995657
2.296926, 0.996264
2.513738, 0.996777
2.762745, 0.997260
3.021654, 0.997676
3.311613, 0.998029
3.616902, 0.998321
3.943210, 0.998584
4.282488, 0.998796
4.657569, 0.998987
5.069882, 0.999142
5.543335, 0.999276
6.176737, 0.999429
6.804908, 0.999547
7.545595, 0.999672
8.045927, 0.999713
8.453601, 0.999736
8.895050, 0.999755
9.349519, 0.999765
9.810592, 0.999770
