# Aggregate rate-distortion data for "Johnston 2018 (CVPR)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant
#     lambda value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.098400, 0.891740
0.098502, 0.891740
0.123147, 0.906121
0.216631, 0.941519
0.216733, 0.941519
0.233175, 0.945224
0.243297, 0.947329
0.266381, 0.951293
0.316397, 0.958758
0.342072, 0.961867
0.359053, 0.963697
0.366377, 0.964417
0.369731, 0.964741
0.416378, 0.967792
0.466340, 0.971446
0.467073, 0.971504
0.482969, 0.972687
0.494033, 0.973290
0.514605, 0.974306
0.564585, 0.976936
0.590295, 0.978016
0.608254, 0.978668
0.614593, 0.978877
0.619498, 0.979037
0.664594, 0.980531
0.714583, 0.981985
0.715288, 0.982006
0.732207, 0.982611
0.743663, 0.982849
0.763244, 0.983211
0.813254, 0.984693
0.838921, 0.985243
0.857497, 0.985607
0.863241, 0.985715
0.869088, 0.985830
0.913244, 0.986412
0.963240, 0.987246
0.963946, 0.987257
0.982247, 0.987626
0.994077, 0.987790
1.012682, 0.988033
1.062672, 0.988744
1.088370, 0.989053
1.107454, 0.989272
1.112645, 0.989331
1.119378, 0.989407
1.162643, 0.989757
1.212635, 0.990265
1.213353, 0.990272
1.231904, 0.990516
1.243903, 0.990613
1.262037, 0.990759
1.312007, 0.991296
1.337708, 0.991490
1.357105, 0.991627
1.362025, 0.991660
1.369241, 0.991707
1.412006, 0.991990
1.461991, 0.992342
1.462680, 0.992347
1.481670, 0.992527
1.493911, 0.992600
1.511412, 0.992705
1.561425, 0.993049
1.587108, 0.993196
1.606839, 0.993302
1.611415, 0.993327
1.619153, 0.993369
1.661396, 0.993576
1.711365, 0.993800
1.712098, 0.993803
1.731499, 0.993898
1.743997, 0.993947
1.760764, 0.994009
1.810739, 0.994177
1.836470, 0.994256
1.856706, 0.994313
1.860740, 0.994324
1.869343, 0.994346
1.910750, 0.994446
1.957929, 0.994539
1.960025, 0.994538
