# Aggregate rate-distortion data for "JPEG (4:2:0)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.169711, 0.712071
0.169749, 0.712117
0.177765, 0.725226
0.195419, 0.770267
0.215370, 0.804750
0.235753, 0.835800
0.256078, 0.853902
0.276064, 0.871161
0.296277, 0.880075
0.316295, 0.892774
0.336027, 0.901061
0.354592, 0.908393
0.374512, 0.916271
0.391621, 0.921438
0.409648, 0.926791
0.427645, 0.931552
0.444940, 0.935915
0.462138, 0.939588
0.477378, 0.941888
0.492648, 0.945165
0.510184, 0.947883
0.525139, 0.949704
0.540754, 0.951816
0.556231, 0.954188
0.569962, 0.955735
0.584600, 0.957189
0.599271, 0.959188
0.615095, 0.960501
0.627102, 0.961528
0.640295, 0.962834
0.653670, 0.964027
0.667082, 0.964948
0.682518, 0.966371
0.691665, 0.967097
0.707964, 0.968077
0.722072, 0.969001
0.730016, 0.969427
0.746566, 0.970318
0.757345, 0.970991
0.763667, 0.971515
0.781793, 0.972316
0.790838, 0.972676
0.800719, 0.973023
0.817135, 0.973990
0.826285, 0.974280
0.841278, 0.975083
0.847925, 0.975296
0.859124, 0.975620
0.877101, 0.976618
0.880909, 0.976710
0.884836, 0.976799
0.904566, 0.977609
0.917882, 0.977923
0.926570, 0.978155
0.937917, 0.978618
0.952844, 0.978946
0.968409, 0.979426
0.986149, 0.979956
0.996887, 0.980157
1.009501, 0.980500
1.029090, 0.981007
1.041324, 0.981264
1.062639, 0.981649
1.075235, 0.982127
1.097391, 0.982554
1.114341, 0.982928
1.132390, 0.983323
1.158913, 0.983762
1.178718, 0.984141
1.207325, 0.984613
1.231682, 0.985169
1.251534, 0.985429
1.281542, 0.985832
1.323648, 0.986430
1.333288, 0.986548
1.365405, 0.987169
1.416884, 0.987774
1.457483, 0.987990
1.488165, 0.988265
1.531844, 0.988799
1.588816, 0.989241
1.634267, 0.989663
1.701630, 0.990117
1.757295, 0.990514
1.812230, 0.990997
1.900390, 0.991454
1.963421, 0.991845
2.072619, 0.992315
2.154366, 0.992688
2.295279, 0.993266
2.415936, 0.993760
2.540488, 0.994149
2.755330, 0.994674
3.016413, 0.995195
3.326475, 0.995715
3.736209, 0.996362
4.201503, 0.996927
4.778058, 0.997532
5.818342, 0.998258
6.590814, 0.998749
