# Aggregate rate-distortion data for "Theis 2017 (ICLR)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant
#     lambda value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.163492, 0.877337
0.195346, 0.892088
0.227208, 0.905804
0.259067, 0.916029
0.290908, 0.924675
0.322767, 0.932538
0.354617, 0.938567
0.386467, 0.943867
0.418333, 0.948488
0.450183, 0.952687
0.482038, 0.956708
0.513892, 0.959942
0.545742, 0.962821
0.577596, 0.965475
0.609458, 0.967904
0.641300, 0.970142
0.673167, 0.972146
0.705025, 0.973883
0.736879, 0.975437
0.768729, 0.976850
0.800592, 0.978158
0.832450, 0.979354
0.864283, 0.980475
0.896142, 0.981537
0.927996, 0.982575
0.959858, 0.983525
0.991708, 0.984429
1.023558, 0.985192
1.055413, 0.985904
1.087275, 0.986542
1.119117, 0.987112
1.150967, 0.987633
1.182833, 0.988108
1.214687, 0.988558
1.246542, 0.989008
1.278396, 0.989438
1.310250, 0.989812
1.342096, 0.990108
1.373954, 0.990363
1.405808, 0.990571
1.437675, 0.990804
1.469521, 0.991017
1.501379, 0.991242
1.533242, 0.991467
1.565092, 0.991692
1.596938, 0.991917
1.628792, 0.992129
1.660650, 0.992346
1.692508, 0.992558
1.724358, 0.992779
1.756208, 0.993029
1.788067, 0.993254
1.819925, 0.993479
1.851783, 0.993696
1.883625, 0.993896
1.915492, 0.994075
1.947346, 0.994213
1.979196, 0.994354
2.011050, 0.994475
2.042904, 0.994583
2.074754, 0.994679
2.106600, 0.994763
2.138454, 0.994862
2.170312, 0.994946
2.202171, 0.995042
2.234033, 0.995129
2.265883, 0.995213
2.297742, 0.995304
2.329604, 0.995400
2.361450, 0.995488
2.393300, 0.995575
2.425154, 0.995662
2.457008, 0.995746
2.488867, 0.995833
2.520721, 0.995921
2.552563, 0.996017
2.584429, 0.996108
2.616275, 0.996200
2.648137, 0.996279
2.679983, 0.996371
2.711846, 0.996454
2.743692, 0.996554
2.775546, 0.996638
2.807400, 0.996729
2.839262, 0.996813
2.871112, 0.996900
2.902971, 0.996967
2.934821, 0.997063
2.966688, 0.997108
2.998529, 0.997129
3.030396, 0.997188
3.062250, 0.997221
3.094100, 0.997254
3.125963, 0.997350
3.157813, 0.997400
3.189658, 0.997475
3.221517, 0.997571
3.253358, 0.997679
3.285208, 0.997775
3.317071, 0.997887
