# Aggregate rate-distortion data for "Toderici 2017 (CVPR)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant
#     lambda value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.125000, 0.819100
0.250000, 0.903700
0.375000, 0.937470
0.500000, 0.953840
0.625000, 0.963570
0.750000, 0.971510
0.875000, 0.975780
1.000000, 0.979590
1.125000, 0.982190
1.250000, 0.983940
1.375000, 0.985840
1.500000, 0.986830
1.625000, 0.987820
1.750000, 0.988340
1.875000, 0.988490
2.000000, 0.988720
