# Aggregate rate-distortion data for "WebP" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.094243, 0.859949
0.148017, 0.897458
0.167417, 0.906693
0.184481, 0.912780
0.197612, 0.917462
0.211097, 0.921219
0.223675, 0.924872
0.235374, 0.927785
0.246663, 0.930606
0.256583, 0.932792
0.266453, 0.934963
0.276018, 0.937170
0.285697, 0.938982
0.295351, 0.940677
0.305691, 0.942177
0.314562, 0.943731
0.323323, 0.945323
0.335731, 0.946859
0.343987, 0.947956
0.354482, 0.949303
0.363906, 0.950519
0.374613, 0.951870
0.384323, 0.952963
0.394086, 0.954065
0.403669, 0.955113
0.415634, 0.956167
0.426804, 0.957243
0.438413, 0.958293
0.451523, 0.959351
0.462157, 0.960298
0.473472, 0.961218
0.483167, 0.962096
0.493541, 0.962903
0.502927, 0.963725
0.512008, 0.964392
0.521818, 0.965194
0.532071, 0.965865
0.543717, 0.966638
0.551121, 0.967216
0.560877, 0.967936
0.571368, 0.968666
0.583490, 0.969257
0.591204, 0.969700
0.599893, 0.970235
0.612219, 0.970915
0.622142, 0.971410
0.629537, 0.971882
0.637370, 0.972366
0.646151, 0.972880
0.657647, 0.973300
0.667055, 0.973827
0.678420, 0.974296
0.685772, 0.974572
0.697732, 0.975088
0.710278, 0.975629
0.716763, 0.975920
0.725222, 0.976288
0.736447, 0.976747
0.753520, 0.977236
0.761476, 0.977569
0.772351, 0.977944
0.782105, 0.978322
0.790393, 0.978589
0.802490, 0.979020
0.818221, 0.979362
0.829905, 0.979712
0.841697, 0.980189
0.850860, 0.980446
0.862750, 0.980725
0.871853, 0.981030
0.894099, 0.981518
0.902996, 0.981810
0.918001, 0.982226
0.924510, 0.982429
0.937727, 0.982703
0.950195, 0.983018
1.009494, 0.984161
1.046349, 0.984885
1.101230, 0.985771
1.141664, 0.986491
1.193638, 0.987213
1.281654, 0.988099
1.333122, 0.988781
1.407324, 0.989483
1.477460, 0.990234
1.539215, 0.990831
1.646725, 0.991604
1.711079, 0.992134
1.803684, 0.992766
1.923989, 0.993467
2.046914, 0.994049
2.176046, 0.994587
2.328081, 0.995105
2.522957, 0.995701
2.740857, 0.996190
2.991981, 0.996672
3.208547, 0.997033
3.419749, 0.997324
3.628110, 0.997487
3.858589, 0.997608
3.983278, 0.997660
