# Aggregate rate-distortion data for "BPG (4:4:4)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.023857, 0.800592
0.028540, 0.817336
0.034282, 0.832740
0.041183, 0.847006
0.049301, 0.861064
0.058861, 0.874282
0.070444, 0.886427
0.084175, 0.898608
0.100255, 0.909863
0.119211, 0.920355
0.140076, 0.929200
0.165529, 0.938131
0.193939, 0.946047
0.226882, 0.953088
0.264902, 0.959696
0.308004, 0.965250
0.353821, 0.970114
0.406663, 0.974410
0.465174, 0.978037
0.528513, 0.981300
0.602615, 0.984115
0.681227, 0.986396
0.763150, 0.988345
0.855122, 0.990114
0.954195, 0.991523
1.058729, 0.992698
1.178031, 0.993780
1.302895, 0.994739
1.427853, 0.995430
1.570484, 0.996073
1.724310, 0.996613
1.890798, 0.997088
2.085680, 0.997556
2.296926, 0.997964
2.513738, 0.998297
2.762745, 0.998598
3.021654, 0.998856
3.311613, 0.999063
3.616902, 0.999222
3.943210, 0.999347
4.282488, 0.999450
4.657569, 0.999531
5.069882, 0.999601
5.543335, 0.999663
6.176737, 0.999735
6.804908, 0.999782
7.545595, 0.999836
8.045927, 0.999857
8.453601, 0.999865
8.895050, 0.999869
9.349519, 0.999871
9.810592, 0.999872
