# Aggregate rate-distortion data for "Johnston 2018 (CVPR)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant
#     lambda value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.098400, 0.901050
0.098502, 0.901050
0.123147, 0.915008
0.216631, 0.948471
0.216733, 0.948471
0.233175, 0.952008
0.243297, 0.953995
0.266381, 0.957725
0.316397, 0.964575
0.342072, 0.967424
0.359053, 0.969079
0.366377, 0.969722
0.369731, 0.970013
0.416378, 0.972725
0.466340, 0.975970
0.467073, 0.976022
0.482969, 0.977019
0.494033, 0.977547
0.514605, 0.978425
0.564585, 0.980936
0.590295, 0.981890
0.608254, 0.982461
0.614593, 0.982642
0.619498, 0.982783
0.664594, 0.984052
0.714583, 0.985313
0.715288, 0.985331
0.732207, 0.985807
0.743663, 0.986010
0.763244, 0.986321
0.813254, 0.987769
0.838921, 0.988253
0.857497, 0.988571
0.863241, 0.988662
0.869088, 0.988761
0.913244, 0.989298
0.963240, 0.990016
0.963946, 0.990026
0.982247, 0.990307
0.994077, 0.990454
1.012682, 0.990664
1.062672, 0.991255
1.088370, 0.991519
1.107454, 0.991708
1.112645, 0.991758
1.119378, 0.991823
1.162643, 0.992127
1.212635, 0.992561
1.213353, 0.992568
1.231904, 0.992775
1.243903, 0.992856
1.262037, 0.992977
1.312007, 0.993490
1.337708, 0.993652
1.357105, 0.993766
1.362025, 0.993794
1.369241, 0.993834
1.412006, 0.994137
1.461991, 0.994435
1.462680, 0.994438
1.481670, 0.994570
1.493911, 0.994631
1.511412, 0.994722
1.561425, 0.994987
1.587108, 0.995112
1.606839, 0.995202
1.611415, 0.995223
1.619153, 0.995257
1.661396, 0.995428
1.711365, 0.995611
1.712098, 0.995614
1.731499, 0.995699
1.743997, 0.995737
1.760764, 0.995786
1.810739, 0.995916
1.836470, 0.995978
1.856706, 0.996023
1.860740, 0.996031
1.869343, 0.996048
1.910750, 0.996124
1.957929, 0.996190
1.960025, 0.996189
