# Aggregate rate-distortion data for "JPEG (4:2:0)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.169711, 0.758083
0.169749, 0.758134
0.177765, 0.772504
0.195419, 0.819206
0.215370, 0.850099
0.235753, 0.877466
0.256078, 0.892586
0.276064, 0.907834
0.296277, 0.917362
0.316295, 0.927211
0.336027, 0.934188
0.354592, 0.940375
0.374512, 0.945648
0.391621, 0.950165
0.409648, 0.953734
0.427645, 0.957299
0.444940, 0.960094
0.462138, 0.962955
0.477378, 0.964741
0.492648, 0.966773
0.510184, 0.968562
0.525139, 0.970318
0.540754, 0.971651
0.556231, 0.973072
0.569962, 0.974169
0.584600, 0.975204
0.599271, 0.976323
0.615095, 0.977430
0.627102, 0.977936
0.640295, 0.978807
0.653670, 0.979573
0.667082, 0.980325
0.682518, 0.981144
0.691665, 0.981446
0.707964, 0.982216
0.722072, 0.982862
0.730016, 0.983111
0.746566, 0.983773
0.757345, 0.984268
0.763667, 0.984424
0.781793, 0.985022
0.790838, 0.985285
0.800719, 0.985516
0.817135, 0.986051
0.826285, 0.986310
0.841278, 0.986787
0.847925, 0.986917
0.859124, 0.987216
0.877101, 0.987756
0.880909, 0.987818
0.884836, 0.987881
0.904566, 0.988313
0.917882, 0.988612
0.926570, 0.988752
0.937917, 0.989002
0.952844, 0.989236
0.968409, 0.989532
0.986149, 0.989879
0.996887, 0.990028
1.009501, 0.990193
1.029090, 0.990593
1.041324, 0.990775
1.062639, 0.990989
1.075235, 0.991134
1.097391, 0.991527
1.114341, 0.991707
1.132390, 0.991905
1.158913, 0.992232
1.178718, 0.992421
1.207325, 0.992701
1.231682, 0.992989
1.251534, 0.993155
1.281542, 0.993398
1.323648, 0.993782
1.333288, 0.993852
1.365405, 0.994098
1.416884, 0.994441
1.457483, 0.994668
1.488165, 0.994840
1.531844, 0.995104
1.588816, 0.995391
1.634267, 0.995596
1.701630, 0.995891
1.757295, 0.996113
1.812230, 0.996301
1.900390, 0.996629
1.963421, 0.996815
2.072619, 0.997056
2.154366, 0.997269
2.295279, 0.997571
2.415936, 0.997791
2.540488, 0.997993
2.755330, 0.998262
3.016413, 0.998507
3.326475, 0.998740
3.736209, 0.998998
4.201503, 0.999230
4.778058, 0.999440
5.818342, 0.999633
6.590814, 0.999731
