# Aggregate rate-distortion data for "WebP" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.094243, 0.881700
0.148017, 0.916605
0.167417, 0.924774
0.184481, 0.930244
0.197612, 0.934592
0.211097, 0.937895
0.223675, 0.941234
0.235374, 0.943849
0.246663, 0.946423
0.256583, 0.948331
0.266453, 0.950404
0.276018, 0.952332
0.285697, 0.953920
0.295351, 0.955464
0.305691, 0.956823
0.314562, 0.958147
0.323323, 0.959514
0.335731, 0.960892
0.343987, 0.961897
0.354482, 0.963038
0.363906, 0.964029
0.374613, 0.965189
0.384323, 0.966158
0.394086, 0.967012
0.403669, 0.967906
0.415634, 0.968791
0.426804, 0.969683
0.438413, 0.970552
0.451523, 0.971471
0.462157, 0.972260
0.473472, 0.973015
0.483167, 0.973728
0.493541, 0.974419
0.502927, 0.975080
0.512008, 0.975640
0.521818, 0.976242
0.532071, 0.976878
0.543717, 0.977467
0.551121, 0.977897
0.560877, 0.978509
0.571368, 0.979043
0.583490, 0.979610
0.591204, 0.979925
0.599893, 0.980341
0.612219, 0.980869
0.622142, 0.981236
0.629537, 0.981580
0.637370, 0.981932
0.646151, 0.982325
0.657647, 0.982600
0.667055, 0.982979
0.678420, 0.983357
0.685772, 0.983607
0.697732, 0.983962
0.710278, 0.984339
0.716763, 0.984586
0.725222, 0.984867
0.736447, 0.985199
0.753520, 0.985574
0.761476, 0.985794
0.772351, 0.986067
0.782105, 0.986354
0.790393, 0.986547
0.802490, 0.986853
0.818221, 0.987114
0.829905, 0.987397
0.841697, 0.987727
0.850860, 0.987902
0.862750, 0.988121
0.871853, 0.988346
0.894099, 0.988668
0.902996, 0.988891
0.918001, 0.989182
0.924510, 0.989333
0.937727, 0.989537
0.950195, 0.989743
1.009494, 0.990533
1.046349, 0.991065
1.101230, 0.991694
1.141664, 0.992196
1.193638, 0.992708
1.281654, 0.993349
1.333122, 0.993783
1.407324, 0.994248
1.477460, 0.994711
1.539215, 0.995083
1.646725, 0.995577
1.711079, 0.995894
1.803684, 0.996284
1.923989, 0.996720
2.046914, 0.997075
2.176046, 0.997394
2.328081, 0.997704
2.522957, 0.998040
2.740857, 0.998293
2.991981, 0.998552
3.208547, 0.998723
3.419749, 0.998900
3.628110, 0.999027
3.858589, 0.999134
3.983278, 0.999181
