# Aggregate rate-distortion data for "BPG (4:4:4)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.023857, 23.787652
0.028540, 24.169736
0.034282, 24.583862
0.041183, 25.005823
0.049301, 25.441511
0.058861, 25.892665
0.070444, 26.341951
0.084175, 26.815071
0.100255, 27.298468
0.119211, 27.803390
0.140076, 28.299163
0.165529, 28.836366
0.193939, 29.370955
0.226882, 29.927924
0.264902, 30.519758
0.308004, 31.114314
0.353821, 31.707365
0.406663, 32.333445
0.465174, 32.953625
0.528513, 33.589638
0.602615, 34.260077
0.681227, 34.921675
0.763150, 35.560822
0.855122, 36.239184
0.954195, 36.892823
1.058729, 37.539114
1.178031, 38.225035
1.302895, 38.892220
1.427853, 39.508856
1.570484, 40.150529
1.724310, 40.780304
1.890798, 41.391531
2.085680, 42.054650
2.296926, 42.720115
2.513738, 43.337300
2.762745, 43.993691
3.021654, 44.653016
3.311613, 45.301270
3.616902, 45.915667
3.943210, 46.518668
4.282488, 47.080322
4.657569, 47.624560
5.069882, 48.164119
5.543335, 48.722029
6.176737, 49.453080
6.804908, 50.169809
7.545595, 51.141528
8.045927, 51.834165
8.453601, 52.318361
8.895050, 52.695935
9.349519, 52.937088
9.810592, 53.030342
