# Aggregate rate-distortion data for "Johnston 2018 (CVPR)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant
#     lambda value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.098400, 25.042694
0.098502, 25.042694
0.123147, 25.873829
0.216631, 27.263388
0.216733, 27.263388
0.233175, 27.744344
0.243297, 27.921630
0.266381, 28.221591
0.316397, 28.994437
0.342072, 29.224412
0.359053, 29.352130
0.366377, 29.404068
0.369731, 29.430324
0.416378, 30.037679
0.466340, 30.367370
0.467073, 30.371583
0.482969, 30.452516
0.494033, 30.510900
0.514605, 30.598548
0.564585, 31.228484
0.590295, 31.341569
0.608254, 31.408429
0.614593, 31.430022
0.619498, 31.444564
0.664594, 31.979668
0.714583, 32.151746
0.715288, 32.154511
0.732207, 32.212912
0.743663, 32.242123
0.763244, 32.287842
0.813254, 33.077149
0.838921, 33.178326
0.857497, 33.239064
0.863241, 33.257011
0.869088, 33.275594
0.913244, 33.666788
0.963240, 33.824353
0.963946, 33.826372
0.982247, 33.891988
0.994077, 33.925309
1.012682, 33.971809
1.062672, 34.365477
1.088370, 34.431439
1.107454, 34.477619
1.112645, 34.490851
1.119378, 34.505873
1.162643, 34.837930
1.212635, 34.957627
1.213353, 34.959745
1.231904, 35.008865
1.243903, 35.033539
1.262037, 35.067067
1.312007, 35.429446
1.337708, 35.480270
1.357105, 35.515472
1.362025, 35.524941
1.369241, 35.537135
1.412006, 36.023957
1.461991, 36.135518
1.462680, 36.136906
1.481670, 36.186340
1.493911, 36.210172
1.511412, 36.245657
1.561425, 36.504762
1.587108, 36.556663
1.606839, 36.593405
1.611415, 36.601528
1.619153, 36.614575
1.661396, 36.683846
1.711365, 36.758485
1.712098, 36.759500
1.731499, 36.789351
1.743997, 36.804867
1.760764, 36.823389
1.810739, 36.872300
1.836470, 36.894054
1.856706, 36.908329
1.860740, 36.911385
1.869343, 36.917674
1.910750, 36.946425
1.957929, 36.972226
1.960025, 36.972114
