# Aggregate rate-distortion data for "JPEG (4:2:0)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.169711, 21.455203
0.169749, 21.456880
0.177765, 21.666192
0.195419, 22.791841
0.215370, 23.838447
0.235753, 24.683159
0.256078, 25.333054
0.276064, 25.832342
0.296277, 26.228299
0.316295, 26.655672
0.336027, 26.991106
0.354592, 27.307442
0.374512, 27.631606
0.391621, 27.865557
0.409648, 28.123159
0.427645, 28.349122
0.444940, 28.576147
0.462138, 28.781836
0.477378, 28.935189
0.492648, 29.121333
0.510184, 29.309026
0.525139, 29.439506
0.540754, 29.588369
0.556231, 29.741452
0.569962, 29.867023
0.584600, 29.989885
0.599271, 30.136216
0.615095, 30.249101
0.627102, 30.356064
0.640295, 30.464102
0.653670, 30.569074
0.667082, 30.670874
0.682518, 30.788564
0.691665, 30.875165
0.707964, 30.987080
0.722072, 31.088498
0.730016, 31.152500
0.746566, 31.251256
0.757345, 31.324668
0.763667, 31.394632
0.781793, 31.511223
0.790838, 31.554919
0.800719, 31.629201
0.817135, 31.743685
0.826285, 31.792438
0.841278, 31.891715
0.847925, 31.946965
0.859124, 31.995600
0.877101, 32.101397
0.880909, 32.143332
0.884836, 32.186013
0.904566, 32.291972
0.917882, 32.347463
0.926570, 32.414443
0.937917, 32.485193
0.952844, 32.564383
0.968409, 32.643523
0.986149, 32.729962
0.996887, 32.791698
1.009501, 32.875084
1.029090, 32.969317
1.041324, 33.045350
1.062639, 33.143573
1.075235, 33.228512
1.097391, 33.324022
1.114341, 33.429066
1.132390, 33.541104
1.158913, 33.649642
1.178718, 33.751399
1.207325, 33.884728
1.231682, 34.014475
1.251534, 34.120418
1.281542, 34.235434
1.323648, 34.402903
1.333288, 34.486807
1.365405, 34.665085
1.416884, 34.851385
1.457483, 34.984608
1.488165, 35.135303
1.531844, 35.328698
1.588816, 35.544393
1.634267, 35.737581
1.701630, 35.948788
1.757295, 36.174503
1.812230, 36.418755
1.900390, 36.690581
1.963421, 36.949372
2.072619, 37.284637
2.154366, 37.597625
2.295279, 37.985216
2.415936, 38.371751
2.540488, 38.810333
2.755330, 39.305183
3.016413, 39.882466
3.326475, 40.504839
3.736209, 41.296989
4.201503, 42.125823
4.778058, 43.128173
5.818342, 44.249547
6.590814, 44.869791
