# Aggregate rate-distortion data for "Theis 2017 (ICLR)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant
#     lambda value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.163492, 25.095287
0.195346, 25.850467
0.227208, 26.581908
0.259067, 27.236700
0.290908, 27.829408
0.322767, 28.394379
0.354617, 28.867800
0.386467, 29.311792
0.418333, 29.739263
0.450183, 30.158100
0.482038, 30.560975
0.513892, 30.914454
0.545742, 31.246446
0.577596, 31.571771
0.609458, 31.888717
0.641300, 32.197033
0.673167, 32.489279
0.705025, 32.761142
0.736879, 33.018262
0.768729, 33.268250
0.800592, 33.511442
0.832450, 33.748063
0.864283, 33.980308
0.896142, 34.208479
0.927996, 34.434375
0.959858, 34.650942
0.991708, 34.859417
1.023558, 35.047200
1.055413, 35.225650
1.087275, 35.395750
1.119117, 35.562625
1.150967, 35.727633
1.182833, 35.888129
1.214687, 36.047175
1.246542, 36.211650
1.278396, 36.381350
1.310250, 36.552733
1.342096, 36.724104
1.373954, 36.892663
1.405808, 37.057079
1.437675, 37.210517
1.469521, 37.361096
1.501379, 37.508554
1.533242, 37.652108
1.565092, 37.794104
1.596938, 37.933113
1.628792, 38.068525
1.660650, 38.206492
1.692508, 38.344200
1.724358, 38.481196
1.756208, 38.618162
1.788067, 38.753958
1.819925, 38.886400
1.851783, 39.015417
1.883625, 39.134662
1.915492, 39.247750
1.947346, 39.356100
1.979196, 39.460217
2.011050, 39.556554
2.042904, 39.652921
2.074754, 39.748621
2.106600, 39.843775
2.138454, 39.942367
2.170312, 40.042317
2.202171, 40.144567
2.234033, 40.248787
2.265883, 40.353638
2.297742, 40.459846
2.329604, 40.566988
2.361450, 40.676037
2.393300, 40.786033
2.425154, 40.895600
2.457008, 41.005525
2.488867, 41.115892
2.520721, 41.226521
2.552563, 41.337154
2.584429, 41.447779
2.616275, 41.558413
2.648137, 41.669046
2.679983, 41.779679
2.711846, 41.890300
2.743692, 42.000933
2.775546, 42.111571
2.807400, 42.222188
2.839262, 42.332817
2.871112, 42.443450
2.902971, 42.554083
2.934821, 42.664729
2.966688, 42.775342
2.998529, 42.885967
3.030396, 42.996600
3.062250, 43.107237
3.094100, 43.217854
3.125963, 43.328492
3.157813, 43.439133
3.189658, 43.549767
3.221517, 43.660392
3.253358, 43.771013
3.285208, 43.881633
3.317071, 43.992271
