# Aggregate rate-distortion data for "WebP" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.094243, 24.714260
0.148017, 26.255029
0.167417, 26.689486
0.184481, 27.027546
0.197612, 27.280433
0.211097, 27.524799
0.223675, 27.722754
0.235374, 27.918863
0.246663, 28.092916
0.256583, 28.252377
0.266453, 28.393822
0.276018, 28.549419
0.285697, 28.682238
0.295351, 28.817843
0.305691, 28.961547
0.314562, 29.078052
0.323323, 29.211945
0.335731, 29.347314
0.343987, 29.445061
0.354482, 29.561612
0.363906, 29.688991
0.374613, 29.803493
0.384323, 29.905743
0.394086, 30.025933
0.403669, 30.140881
0.415634, 30.254677
0.426804, 30.378803
0.438413, 30.496160
0.451523, 30.622330
0.462157, 30.731394
0.473472, 30.850665
0.483167, 30.956872
0.493541, 31.067278
0.502927, 31.164817
0.512008, 31.257955
0.521818, 31.360582
0.532071, 31.464749
0.543717, 31.571641
0.551121, 31.648032
0.560877, 31.752095
0.571368, 31.863407
0.583490, 31.966983
0.591204, 32.038157
0.599893, 32.127253
0.612219, 32.220649
0.622142, 32.314163
0.629537, 32.394868
0.637370, 32.476506
0.646151, 32.553898
0.657647, 32.625726
0.667055, 32.713783
0.678420, 32.811152
0.685772, 32.872969
0.697732, 32.951994
0.710278, 33.060884
0.716763, 33.119956
0.725222, 33.186183
0.736447, 33.286433
0.753520, 33.373867
0.761476, 33.424996
0.772351, 33.511498
0.782105, 33.602353
0.790393, 33.659993
0.802490, 33.753030
0.818221, 33.813712
0.829905, 33.897364
0.841697, 33.996084
0.850860, 34.061869
0.862750, 34.145250
0.871853, 34.211989
0.894099, 34.339001
0.902996, 34.390293
0.918001, 34.500057
0.924510, 34.551566
0.937727, 34.640588
0.950195, 34.733232
1.009494, 35.021375
1.046349, 35.261373
1.101230, 35.544183
1.141664, 35.792860
1.193638, 36.083848
1.281654, 36.370545
1.333122, 36.657684
1.407324, 36.958734
1.477460, 37.284987
1.539215, 37.592961
1.646725, 37.956591
1.711079, 38.241224
1.803684, 38.621645
1.923989, 39.026351
2.046914, 39.437362
2.176046, 39.841381
2.328081, 40.279786
2.522957, 40.751350
2.740857, 41.259229
2.991981, 41.795607
3.208547, 42.211245
3.419749, 42.558507
3.628110, 42.854465
3.858589, 43.096699
3.983278, 43.213435
