# Aggregate rate-distortion data for "BPG (4:4:4)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.023857, 24.282063
0.028540, 24.670929
0.034282, 25.084433
0.041183, 25.513338
0.049301, 25.959705
0.058861, 26.407214
0.070444, 26.874963
0.084175, 27.356762
0.100255, 27.848479
0.119211, 28.366194
0.140076, 28.875123
0.165529, 29.431678
0.193939, 29.992299
0.226882, 30.570405
0.264902, 31.191792
0.308004, 31.816254
0.353821, 32.442969
0.406663, 33.110749
0.465174, 33.770465
0.528513, 34.456644
0.602615, 35.183826
0.681227, 35.894508
0.763150, 36.589369
0.855122, 37.332427
0.954195, 38.055663
1.058729, 38.776342
1.178031, 39.543953
1.302895, 40.305646
1.427853, 41.009316
1.570484, 41.751139
1.724310, 42.486661
1.890798, 43.216988
2.085680, 44.034160
2.296926, 44.859987
2.513738, 45.640241
2.762745, 46.500506
3.021654, 47.360175
3.311613, 48.232553
3.616902, 49.064985
3.943210, 49.854869
4.282488, 50.601471
4.657569, 51.313983
5.069882, 52.005916
5.543335, 52.735905
6.176737, 53.706155
6.804908, 54.520587
7.545595, 55.583101
8.045927, 56.331668
8.453601, 56.689431
8.895050, 56.862146
9.349519, 56.962101
9.810592, 57.004717
