# Aggregate rate-distortion data for "Johnston 2018 (CVPR)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant
#     lambda value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.098400, 25.415076
0.098502, 25.415076
0.123147, 26.259974
0.216631, 27.538927
0.216733, 27.538927
0.233175, 28.040858
0.243297, 28.220575
0.266381, 28.524103
0.316397, 29.321688
0.342072, 29.552020
0.359053, 29.680888
0.366377, 29.732906
0.369731, 29.758764
0.416378, 30.393611
0.466340, 30.723822
0.467073, 30.728117
0.482969, 30.802674
0.494033, 30.860739
0.514605, 30.948459
0.564585, 31.619212
0.590295, 31.734110
0.608254, 31.801859
0.614593, 31.824312
0.619498, 31.839540
0.664594, 32.388509
0.714583, 32.563383
0.715288, 32.566207
0.732207, 32.623283
0.743663, 32.653052
0.763244, 32.699191
0.813254, 33.551550
0.838921, 33.655134
0.857497, 33.718116
0.863241, 33.736489
0.869088, 33.756010
0.913244, 34.181942
0.963240, 34.346009
0.963946, 34.348151
0.982247, 34.415754
0.994077, 34.450268
1.012682, 34.498722
1.062672, 34.917596
1.088370, 34.986763
1.107454, 35.034162
1.112645, 35.048008
1.119378, 35.063655
1.162643, 35.428111
1.212635, 35.552477
1.213353, 35.554671
1.231904, 35.606055
1.243903, 35.631168
1.262037, 35.665672
1.312007, 36.072622
1.337708, 36.125868
1.357105, 36.162059
1.362025, 36.171863
1.369241, 36.184520
1.412006, 36.742886
1.461991, 36.861454
1.462680, 36.862998
1.481670, 36.908726
1.493911, 36.934076
1.511412, 36.972569
1.561425, 37.249917
1.587108, 37.305758
1.606839, 37.345230
1.611415, 37.353874
1.619153, 37.367907
1.661396, 37.440820
1.711365, 37.519927
1.712098, 37.520973
1.731499, 37.551889
1.743997, 37.567976
1.760764, 37.587388
1.810739, 37.637901
1.836470, 37.660827
1.856706, 37.675826
1.860740, 37.678869
1.869343, 37.685433
1.910750, 37.714641
1.957929, 37.740055
1.960025, 37.739949
