# Aggregate rate-distortion data for "JPEG (4:2:0)" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.169711, 23.222225
0.169749, 23.224775
0.177765, 23.551995
0.195419, 24.646903
0.215370, 25.482647
0.235753, 26.223852
0.256078, 26.751659
0.276064, 27.236306
0.296277, 27.604740
0.316295, 27.984361
0.336027, 28.295006
0.354592, 28.581677
0.374512, 28.856907
0.391621, 29.094287
0.409648, 29.327540
0.427645, 29.543509
0.444940, 29.741917
0.462138, 29.944751
0.477378, 30.105710
0.492648, 30.263903
0.510184, 30.437897
0.525139, 30.589546
0.540754, 30.736034
0.556231, 30.878859
0.569962, 31.003013
0.584600, 31.129711
0.599271, 31.258291
0.615095, 31.388658
0.627102, 31.485625
0.640295, 31.603930
0.653670, 31.706054
0.667082, 31.817331
0.682518, 31.931495
0.691665, 32.009727
0.707964, 32.124896
0.722072, 32.235806
0.730016, 32.296707
0.746566, 32.406946
0.757345, 32.486105
0.763667, 32.544977
0.781793, 32.671638
0.790838, 32.722449
0.800719, 32.804686
0.817135, 32.911308
0.826285, 32.970048
0.841278, 33.074167
0.847925, 33.136282
0.859124, 33.194193
0.877101, 33.292495
0.880909, 33.340903
0.884836, 33.390756
0.904566, 33.490044
0.917882, 33.556992
0.926570, 33.631884
0.937917, 33.710973
0.952844, 33.799897
0.968409, 33.884584
0.986149, 33.982603
0.996887, 34.056947
1.009501, 34.143484
1.029090, 34.247776
1.041324, 34.335124
1.062639, 34.445133
1.075235, 34.532135
1.097391, 34.647237
1.114341, 34.758889
1.132390, 34.870902
1.158913, 34.994454
1.178718, 35.104958
1.207325, 35.258481
1.231682, 35.397271
1.251534, 35.523000
1.281542, 35.653093
1.323648, 35.845817
1.333288, 35.949193
1.365405, 36.138907
1.416884, 36.355975
1.457483, 36.526704
1.488165, 36.707439
1.531844, 36.927136
1.588816, 37.186930
1.634267, 37.414769
1.701630, 37.669915
1.757295, 37.947681
1.812230, 38.235731
1.900390, 38.588234
1.963421, 38.912240
2.072619, 39.334763
2.154366, 39.745191
2.295279, 40.250401
2.415936, 40.764273
2.540488, 41.392414
2.755330, 42.097653
3.016413, 42.963801
3.326475, 43.930370
3.736209, 45.234004
4.201503, 46.774485
4.778058, 48.926102
5.818342, 51.810889
6.590814, 53.535962
