# Aggregate rate-distortion data for "WebP" on kodak.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.094243, 26.097750
0.148017, 27.350453
0.167417, 27.765135
0.184481, 28.081859
0.197612, 28.328480
0.211097, 28.566468
0.223675, 28.778389
0.235374, 28.966978
0.246663, 29.150371
0.256583, 29.310018
0.266453, 29.451760
0.276018, 29.619170
0.285697, 29.758122
0.295351, 29.900465
0.305691, 30.049471
0.314562, 30.163369
0.323323, 30.294240
0.335731, 30.435797
0.343987, 30.547925
0.354482, 30.679536
0.363906, 30.811665
0.374613, 30.924514
0.384323, 31.037137
0.394086, 31.154844
0.403669, 31.268348
0.415634, 31.387581
0.426804, 31.513541
0.438413, 31.642747
0.451523, 31.773091
0.462157, 31.887898
0.473472, 32.013573
0.483167, 32.124923
0.493541, 32.241660
0.502927, 32.341823
0.512008, 32.439276
0.521818, 32.544756
0.532071, 32.659650
0.543717, 32.766328
0.551121, 32.843768
0.560877, 32.948218
0.571368, 33.065945
0.583490, 33.171261
0.591204, 33.248680
0.599893, 33.340119
0.612219, 33.446735
0.622142, 33.546440
0.629537, 33.618718
0.637370, 33.702826
0.646151, 33.783750
0.657647, 33.862811
0.667055, 33.949883
0.678420, 34.051506
0.685772, 34.121757
0.697732, 34.199379
0.710278, 34.306534
0.716763, 34.369099
0.725222, 34.441286
0.736447, 34.544499
0.753520, 34.639944
0.761476, 34.688421
0.772351, 34.775613
0.782105, 34.871395
0.790393, 34.929609
0.802490, 35.022307
0.818221, 35.090585
0.829905, 35.182906
0.841697, 35.282505
0.850860, 35.357444
0.862750, 35.446921
0.871853, 35.515944
0.894099, 35.648060
0.902996, 35.705962
0.918001, 35.822013
0.924510, 35.877398
0.937727, 35.975790
0.950195, 36.069418
1.009494, 36.377844
1.046349, 36.640371
1.101230, 36.958276
1.141664, 37.234861
1.193638, 37.570736
1.281654, 37.900044
1.333122, 38.224020
1.407324, 38.581981
1.477460, 38.936086
1.539215, 39.289857
1.646725, 39.720283
1.711079, 40.060807
1.803684, 40.513549
1.923989, 41.014349
2.046914, 41.555560
2.176046, 42.048416
2.328081, 42.638515
2.522957, 43.238431
2.740857, 43.955514
2.991981, 44.700323
3.208547, 45.313776
3.419749, 45.937282
3.628110, 46.556614
3.858589, 47.124848
3.983278, 47.389184
