# Aggregate rate-distortion data for "BPG (4:4:4)" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.025060, 0.850755
0.029257, 0.863353
0.034290, 0.875257
0.040172, 0.886926
0.046863, 0.897174
0.054726, 0.907037
0.063846, 0.915959
0.074256, 0.924533
0.086615, 0.932054
0.100555, 0.939053
0.115887, 0.945234
0.133742, 0.950845
0.153843, 0.955770
0.176214, 0.960216
0.202363, 0.964608
0.231102, 0.968253
0.261737, 0.971382
0.297317, 0.974292
0.336615, 0.976833
0.379584, 0.979218
0.430032, 0.981374
0.484752, 0.983247
0.542243, 0.984915
0.609383, 0.986560
0.682778, 0.987960
0.762960, 0.989181
0.857307, 0.990378
0.959288, 0.991525
1.066873, 0.992467
1.193355, 0.993390
1.333717, 0.994264
1.489079, 0.995026
1.673540, 0.995760
1.874180, 0.996416
2.087761, 0.996981
2.337302, 0.997517
2.606474, 0.998034
2.907534, 0.998415
3.234008, 0.998734
3.588031, 0.998989
3.955821, 0.999182
4.367805, 0.999346
4.812334, 0.999472
5.304131, 0.999567
5.975183, 0.999688
6.606795, 0.999772
7.335155, 0.999842
7.786779, 0.999857
8.188528, 0.999869
8.606709, 0.999880
9.020080, 0.999885
9.455342, 0.999888
