# Aggregate rate-distortion data for "JPEG (4:2:0)" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.080893, 0.790508
0.081018, 0.790586
0.088910, 0.800998
0.106636, 0.831516
0.123852, 0.855054
0.141670, 0.872306
0.158537, 0.885704
0.174324, 0.897974
0.190644, 0.906839
0.206045, 0.914006
0.220674, 0.920711
0.232758, 0.925538
0.247296, 0.931435
0.258813, 0.934988
0.271227, 0.938963
0.283514, 0.941448
0.294794, 0.944659
0.306693, 0.947003
0.316021, 0.949100
0.325544, 0.951146
0.336531, 0.953176
0.347237, 0.954531
0.356780, 0.956323
0.366457, 0.958141
0.376003, 0.959321
0.383619, 0.960310
0.393325, 0.961583
0.403292, 0.962801
0.411078, 0.963375
0.420514, 0.964474
0.427851, 0.965380
0.434691, 0.966077
0.445165, 0.967135
0.451180, 0.967775
0.460096, 0.968406
0.468173, 0.969108
0.475846, 0.969544
0.485164, 0.970191
0.492069, 0.970705
0.496070, 0.970986
0.506168, 0.971607
0.511996, 0.972012
0.517782, 0.972287
0.526871, 0.973092
0.534302, 0.973339
0.541775, 0.973902
0.544166, 0.974008
0.551982, 0.974266
0.564941, 0.975164
0.566560, 0.975187
0.568394, 0.975233
0.580192, 0.975813
0.589279, 0.976074
0.593171, 0.976247
0.600511, 0.976674
0.606344, 0.976866
0.617802, 0.977262
0.628228, 0.977687
0.633108, 0.977836
0.640478, 0.978083
0.653266, 0.978545
0.660620, 0.978673
0.672255, 0.979021
0.678251, 0.979347
0.691664, 0.979765
0.704439, 0.980065
0.712718, 0.980419
0.727615, 0.980810
0.741545, 0.981154
0.760001, 0.981589
0.779021, 0.982147
0.786323, 0.982274
0.804032, 0.982686
0.825461, 0.983275
0.830471, 0.983338
0.850898, 0.983826
0.878543, 0.984296
0.911103, 0.984686
0.933494, 0.984902
0.972587, 0.985499
0.996139, 0.985831
1.020809, 0.986182
1.039178, 0.986477
1.056210, 0.986737
1.093821, 0.987239
1.145786, 0.987738
1.185063, 0.988155
1.235576, 0.988789
1.411676, 0.990004
1.503783, 0.990636
1.609673, 0.991125
1.673701, 0.991717
1.723859, 0.992276
1.824245, 0.992934
1.843451, 0.993188
1.955606, 0.993531
2.511484, 0.995508
3.266837, 0.996687
3.524116, 0.997278
3.677092, 0.997576
