# Aggregate rate-distortion data for "WebP" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.093404, 0.900997
0.127631, 0.924403
0.140521, 0.930428
0.150833, 0.934404
0.159929, 0.937608
0.167930, 0.940122
0.176115, 0.942504
0.183746, 0.944698
0.190360, 0.946157
0.197545, 0.947758
0.203751, 0.949302
0.210186, 0.950570
0.216157, 0.951757
0.222584, 0.952920
0.228802, 0.954120
0.234622, 0.955142
0.240852, 0.956116
0.246943, 0.956994
0.253091, 0.957935
0.259352, 0.958908
0.265518, 0.959736
0.272440, 0.960509
0.278517, 0.961356
0.284902, 0.962078
0.290683, 0.962793
0.297215, 0.963486
0.303421, 0.964126
0.310307, 0.964809
0.318242, 0.965511
0.324709, 0.966090
0.331542, 0.966764
0.339010, 0.967380
0.345314, 0.967962
0.351703, 0.968506
0.359383, 0.969089
0.365587, 0.969581
0.372424, 0.970105
0.380100, 0.970617
0.386700, 0.971056
0.394007, 0.971569
0.400009, 0.971969
0.408211, 0.972442
0.415243, 0.972942
0.422245, 0.973388
0.430452, 0.973862
0.435958, 0.974173
0.442638, 0.974569
0.450107, 0.974991
0.456617, 0.975351
0.465768, 0.975787
0.471774, 0.976079
0.479629, 0.976517
0.486061, 0.976840
0.496175, 0.977275
0.501046, 0.977497
0.509120, 0.977854
0.515945, 0.978148
0.522302, 0.978435
0.533259, 0.978799
0.540184, 0.979114
0.547194, 0.979366
0.552736, 0.979564
0.561568, 0.979918
0.567693, 0.980195
0.581901, 0.980560
0.587817, 0.980760
0.596314, 0.981037
0.603953, 0.981308
0.611217, 0.981552
0.619725, 0.981846
0.634085, 0.982203
0.641052, 0.982388
0.650219, 0.982642
0.659169, 0.982941
0.667377, 0.983161
0.675865, 0.983395
0.715040, 0.984225
0.745411, 0.984977
0.786728, 0.985703
0.820645, 0.986380
0.859520, 0.987057
0.919767, 0.987817
0.962979, 0.988479
1.022765, 0.989144
1.073323, 0.989769
1.131928, 0.990416
1.212859, 0.991183
1.277568, 0.991761
1.358104, 0.992420
1.458233, 0.993097
1.553875, 0.993713
1.657441, 0.994300
1.788354, 0.994918
1.964316, 0.995551
2.138186, 0.996097
2.324781, 0.996565
2.551765, 0.996996
2.752932, 0.997318
2.974106, 0.997549
3.202178, 0.997703
3.328048, 0.997746
