# Aggregate rate-distortion data for "BPG (4:2:0)" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.025125, 0.870295
0.029395, 0.882477
0.034544, 0.894148
0.040463, 0.905154
0.047224, 0.914833
0.055196, 0.924043
0.064515, 0.932391
0.075126, 0.940104
0.087715, 0.946857
0.099400, 0.953037
0.114569, 0.958423
0.129411, 0.963337
0.148728, 0.967708
0.166732, 0.971403
0.191210, 0.975073
0.213960, 0.978027
0.241976, 0.980605
0.269519, 0.982907
0.303815, 0.984891
0.341726, 0.986730
0.385042, 0.988322
0.431623, 0.989675
0.472215, 0.990823
0.527420, 0.991940
0.587486, 0.992869
0.652251, 0.993666
0.727601, 0.994422
0.808301, 0.995135
0.891799, 0.995669
0.988839, 0.996181
1.095368, 0.996644
1.212718, 0.997055
1.350947, 0.997457
1.501673, 0.997816
1.659002, 0.998125
1.840322, 0.998413
2.032363, 0.998694
2.243398, 0.998904
2.469170, 0.999077
2.702498, 0.999221
2.939118, 0.999349
3.191646, 0.999457
3.457013, 0.999548
3.733283, 0.999623
4.132374, 0.999735
4.442658, 0.999789
4.800078, 0.999844
5.016470, 0.999858
5.185366, 0.999864
5.361169, 0.999868
5.578033, 0.999869
5.803359, 0.999870
