# Aggregate rate-distortion data for "JPEG 2000 (Kakadu)" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#  3. These results are based on the Kakadu implementation of JPEG2000
#     More information here: https://kakadusoftware.com.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.100015, 0.938319
0.199956, 0.967436
0.249913, 0.974216
0.299939, 0.978707
0.400036, 0.984543
0.500044, 0.988093
0.600090, 0.990410
0.699950, 0.992025
0.750074, 0.992708
0.800131, 0.993257
0.900073, 0.994214
1.000134, 0.994922
1.099905, 0.995467
1.200041, 0.995938
1.249973, 0.996150
1.300113, 0.996344
1.400004, 0.996695
1.499800, 0.996985
1.599939, 0.997253
1.699833, 0.997473
1.749930, 0.997569
1.799995, 0.997661
1.900088, 0.997846
1.999878, 0.998013
2.249196, 0.998367
2.494925, 0.998645
2.739606, 0.998854
2.983564, 0.999034
3.223385, 0.999189
3.454711, 0.999299
3.680060, 0.999389
3.894861, 0.999468
