# Aggregate rate-distortion data for "JPEG (4:2:0)" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.080893, 0.831081
0.081018, 0.831165
0.088910, 0.842679
0.106636, 0.873134
0.123852, 0.895843
0.141670, 0.911331
0.158537, 0.922513
0.174324, 0.932494
0.190644, 0.940550
0.206045, 0.946661
0.220674, 0.951537
0.232758, 0.955404
0.247296, 0.959414
0.258813, 0.962212
0.271227, 0.965033
0.283514, 0.967087
0.294794, 0.969191
0.306693, 0.971069
0.316021, 0.972444
0.325544, 0.973823
0.336531, 0.974972
0.347237, 0.976213
0.356780, 0.977068
0.366457, 0.978206
0.376003, 0.979047
0.383619, 0.979624
0.393325, 0.980375
0.403292, 0.981198
0.411078, 0.981562
0.420514, 0.982145
0.427851, 0.982700
0.434691, 0.983190
0.445165, 0.983863
0.451180, 0.984001
0.460096, 0.984492
0.468173, 0.984906
0.475846, 0.985133
0.485164, 0.985627
0.492069, 0.985973
0.496070, 0.986075
0.506168, 0.986520
0.511996, 0.986668
0.517782, 0.986858
0.526871, 0.987232
0.534302, 0.987441
0.541775, 0.987736
0.544166, 0.987764
0.551982, 0.987991
0.564941, 0.988503
0.566560, 0.988521
0.568394, 0.988539
0.580192, 0.988811
0.589279, 0.989036
0.593171, 0.989080
0.600511, 0.989268
0.606344, 0.989383
0.617802, 0.989608
0.628228, 0.989913
0.633108, 0.990001
0.640478, 0.990072
0.653266, 0.990352
0.660620, 0.990448
0.672255, 0.990604
0.678251, 0.990667
0.691664, 0.991041
0.704439, 0.991160
0.712718, 0.991256
0.727615, 0.991530
0.741545, 0.991639
0.760001, 0.991918
0.779021, 0.992202
0.786323, 0.992255
0.804032, 0.992439
0.825461, 0.992798
0.830471, 0.992822
0.850898, 0.992975
0.878543, 0.993163
0.911103, 0.993424
0.933494, 0.993592
0.972587, 0.993843
0.996139, 0.994032
1.020809, 0.994123
1.039178, 0.994248
1.056210, 0.994286
1.093821, 0.994410
1.145786, 0.994704
1.185063, 0.994998
1.235576, 0.995301
1.411676, 0.996159
1.503783, 0.996476
1.609673, 0.996759
1.673701, 0.997101
1.723859, 0.997141
1.824245, 0.997194
1.843451, 0.997202
1.955606, 0.997258
2.511484, 0.998349
3.266837, 0.999070
3.524116, 0.999123
3.677092, 0.999145
