# Aggregate rate-distortion data for "WebP" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains MS-SSIM/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#  2. We often graph MS-SSIM values in dB for visual clarity using:
#     ms_ssim_db = -10 * log10(1 - ms_ssim).
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.093404, 0.924470
0.127631, 0.945408
0.140521, 0.950495
0.150833, 0.953893
0.159929, 0.956656
0.167930, 0.958799
0.176115, 0.960789
0.183746, 0.962605
0.190360, 0.963884
0.197545, 0.965217
0.203751, 0.966484
0.210186, 0.967575
0.216157, 0.968579
0.222584, 0.969549
0.228802, 0.970523
0.234622, 0.971391
0.240852, 0.972160
0.246943, 0.972928
0.253091, 0.973660
0.259352, 0.974399
0.265518, 0.975076
0.272440, 0.975733
0.278517, 0.976367
0.284902, 0.976931
0.290683, 0.977462
0.297215, 0.977979
0.303421, 0.978482
0.310307, 0.979003
0.318242, 0.979540
0.324709, 0.979991
0.331542, 0.980492
0.339010, 0.980958
0.345314, 0.981370
0.351703, 0.981779
0.359383, 0.982187
0.365587, 0.982553
0.372424, 0.982929
0.380100, 0.983294
0.386700, 0.983603
0.394007, 0.983985
0.400009, 0.984276
0.408211, 0.984590
0.415243, 0.984932
0.422245, 0.985243
0.430452, 0.985593
0.435958, 0.985802
0.442638, 0.986065
0.450107, 0.986360
0.456617, 0.986607
0.465768, 0.986853
0.471774, 0.987058
0.479629, 0.987338
0.486061, 0.987561
0.496175, 0.987854
0.501046, 0.988000
0.509120, 0.988227
0.515945, 0.988437
0.522302, 0.988629
0.533259, 0.988839
0.540184, 0.989050
0.547194, 0.989220
0.552736, 0.989338
0.561568, 0.989527
0.567693, 0.989698
0.581901, 0.989930
0.587817, 0.990065
0.596314, 0.990231
0.603953, 0.990390
0.611217, 0.990530
0.619725, 0.990711
0.634085, 0.990940
0.641052, 0.991053
0.650219, 0.991220
0.659169, 0.991399
0.667377, 0.991525
0.675865, 0.991663
0.715040, 0.992151
0.745411, 0.992566
0.786728, 0.992996
0.820645, 0.993387
0.859520, 0.993756
0.919767, 0.994180
0.962979, 0.994548
1.022765, 0.994909
1.073323, 0.995232
1.131928, 0.995550
1.212859, 0.995917
1.277568, 0.996194
1.358104, 0.996501
1.458233, 0.996828
1.553875, 0.997121
1.657441, 0.997385
1.788354, 0.997669
1.964316, 0.997963
2.138186, 0.998206
2.324781, 0.998407
2.551765, 0.998603
2.752932, 0.998758
2.974106, 0.998890
3.202178, 0.998990
3.328048, 0.999025
