# Aggregate rate-distortion data for "BPG (4:4:4)" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.025060, 25.130159
0.029257, 25.592183
0.034290, 26.055216
0.040172, 26.531930
0.046863, 27.004273
0.054726, 27.499463
0.063846, 27.999492
0.074256, 28.508719
0.086615, 29.029134
0.100555, 29.554185
0.115887, 30.071480
0.133742, 30.613787
0.153843, 31.147454
0.176214, 31.679708
0.202363, 32.244413
0.231102, 32.792671
0.261737, 33.318580
0.297317, 33.871604
0.336615, 34.414892
0.379584, 34.959656
0.430032, 35.522459
0.484752, 36.070540
0.542243, 36.595498
0.609383, 37.152488
0.682778, 37.693324
0.762960, 38.224979
0.857307, 38.788265
0.959288, 39.354760
1.066873, 39.886785
1.193355, 40.448495
1.333717, 41.012807
1.489079, 41.565179
1.673540, 42.162286
1.874180, 42.760993
2.087761, 43.330331
2.337302, 43.941209
2.606474, 44.623969
2.907534, 45.263827
3.234008, 45.912547
3.588031, 46.544429
3.955821, 47.128919
4.367805, 47.715758
4.812334, 48.297504
5.304131, 48.883236
5.975183, 49.685870
6.606795, 50.438921
7.335155, 51.375012
7.786779, 51.986365
8.188528, 52.486404
8.606709, 52.848391
9.020080, 53.066389
9.455342, 53.148213
