# Aggregate rate-distortion data for "JPEG (4:2:0)" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.080893, 22.314236
0.081018, 22.317622
0.088910, 22.564207
0.106636, 23.716237
0.123852, 24.778461
0.141670, 25.690349
0.158537, 26.371065
0.174324, 26.992753
0.190644, 27.418922
0.206045, 27.897662
0.220674, 28.279740
0.232758, 28.584530
0.247296, 28.945747
0.258813, 29.170420
0.271227, 29.434582
0.283514, 29.644052
0.294794, 29.865267
0.306693, 30.055999
0.316021, 30.229117
0.325544, 30.385434
0.336531, 30.573702
0.347237, 30.697776
0.356780, 30.856335
0.366457, 31.009395
0.376003, 31.129068
0.383619, 31.223393
0.393325, 31.359135
0.403292, 31.472963
0.411078, 31.562320
0.420514, 31.684371
0.427851, 31.777696
0.434691, 31.857519
0.445165, 31.979095
0.451180, 32.061471
0.460096, 32.157519
0.468173, 32.237379
0.475846, 32.319090
0.485164, 32.400321
0.492069, 32.462543
0.496070, 32.525719
0.506168, 32.613754
0.511996, 32.665822
0.517782, 32.728019
0.526871, 32.819076
0.534302, 32.874100
0.541775, 32.959456
0.544166, 32.990578
0.551982, 33.029643
0.564941, 33.165796
0.566560, 33.182477
0.568394, 33.204351
0.580192, 33.318016
0.589279, 33.365142
0.593171, 33.415975
0.600511, 33.473140
0.606344, 33.525710
0.617802, 33.595164
0.628228, 33.677456
0.633108, 33.721394
0.640478, 33.789676
0.653266, 33.874800
0.660620, 33.919643
0.672255, 34.022483
0.678251, 34.078446
0.691664, 34.165020
0.704439, 34.250140
0.712718, 34.335471
0.727615, 34.437863
0.741545, 34.537794
0.760001, 34.670891
0.779021, 34.786199
0.786323, 34.842217
0.804032, 34.955572
0.825461, 35.111089
0.830471, 35.150992
0.850898, 35.284625
0.878543, 35.449900
0.911103, 35.620672
0.933494, 35.742829
0.972587, 35.935899
0.996139, 36.072019
1.020809, 36.204274
1.039178, 36.308764
1.056210, 36.442660
1.093821, 36.616015
1.145786, 36.842465
1.185063, 36.986701
1.235576, 37.246896
1.411676, 37.903180
1.503783, 38.163768
1.609673, 38.402619
1.673701, 38.629461
1.723859, 38.902367
1.824245, 39.177109
1.843451, 39.253727
1.955606, 39.423187
2.511484, 40.700527
3.266837, 41.602045
3.524116, 42.007484
3.677092, 42.162448
