# Aggregate rate-distortion data for "WebP" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/R'G'B' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.093404, 25.746076
0.127631, 27.284699
0.140521, 27.712726
0.150833, 28.025953
0.159929, 28.300430
0.167930, 28.507227
0.176115, 28.710261
0.183746, 28.902977
0.190360, 29.052871
0.197545, 29.220210
0.203751, 29.376340
0.210186, 29.512137
0.216157, 29.635288
0.222584, 29.760363
0.228802, 29.886405
0.234622, 30.006688
0.240852, 30.125685
0.246943, 30.223055
0.253091, 30.338513
0.259352, 30.445725
0.265518, 30.578451
0.272440, 30.676876
0.278517, 30.778480
0.284902, 30.878643
0.290683, 30.974675
0.297215, 31.073856
0.303421, 31.170310
0.310307, 31.269077
0.318242, 31.377499
0.324709, 31.467598
0.331542, 31.569077
0.339010, 31.662953
0.345314, 31.762701
0.351703, 31.858981
0.359383, 31.959403
0.365587, 32.055997
0.372424, 32.148458
0.380100, 32.239135
0.386700, 32.322920
0.394007, 32.417847
0.400009, 32.507570
0.408211, 32.594886
0.415243, 32.692630
0.422245, 32.788565
0.430452, 32.880411
0.435958, 32.940605
0.442638, 33.030533
0.450107, 33.127755
0.456617, 33.208924
0.465768, 33.285094
0.471774, 33.346381
0.479629, 33.449571
0.486061, 33.532993
0.496175, 33.623796
0.501046, 33.675934
0.509120, 33.761203
0.515945, 33.832079
0.522302, 33.900837
0.533259, 33.961523
0.540184, 34.033336
0.547194, 34.097899
0.552736, 34.146349
0.561568, 34.230545
0.567693, 34.303807
0.581901, 34.378490
0.587817, 34.428265
0.596314, 34.507259
0.603953, 34.578562
0.611217, 34.641032
0.619725, 34.722851
0.634085, 34.796928
0.641052, 34.850899
0.650219, 34.925793
0.659169, 35.005547
0.667377, 35.059094
0.675865, 35.133301
0.715040, 35.362274
0.745411, 35.593709
0.786728, 35.822906
0.820645, 36.053392
0.859520, 36.285091
0.919767, 36.519343
0.962979, 36.771009
1.022765, 37.025660
1.073323, 37.270544
1.131928, 37.547929
1.212859, 37.838992
1.277568, 38.098001
1.358104, 38.419273
1.458233, 38.751946
1.553875, 39.071941
1.657441, 39.404351
1.788354, 39.770079
1.964316, 40.192730
2.138186, 40.618055
2.324781, 41.032943
2.551765, 41.476602
2.752932, 41.771115
2.974106, 42.064146
3.202178, 42.284616
3.328048, 42.382762
