# Aggregate rate-distortion data for "BPG (4:4:4)" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.025060, 26.053018
0.029257, 26.521267
0.034290, 27.016155
0.040172, 27.512002
0.046863, 28.010831
0.054726, 28.533471
0.063846, 29.060449
0.074256, 29.600721
0.086615, 30.161884
0.100555, 30.728172
0.115887, 31.281166
0.133742, 31.870902
0.153843, 32.454498
0.176214, 33.035863
0.202363, 33.652100
0.231102, 34.256875
0.261737, 34.834799
0.297317, 35.449313
0.336615, 36.051620
0.379584, 36.659828
0.430032, 37.291006
0.484752, 37.906066
0.542243, 38.493979
0.609383, 39.117432
0.682778, 39.725797
0.762960, 40.322179
0.857307, 40.960719
0.959288, 41.595546
1.066873, 42.185379
1.193355, 42.811519
1.333717, 43.439110
1.489079, 44.064543
1.673540, 44.752538
1.874180, 45.446415
2.087761, 46.120959
2.337302, 46.865570
2.606474, 47.646400
2.907534, 48.427630
3.234008, 49.203734
3.588031, 49.954878
3.955821, 50.662808
4.367805, 51.363380
4.812334, 52.052181
5.304131, 52.774506
5.975183, 53.864296
6.606795, 54.750551
7.335155, 55.875064
7.786779, 56.561614
8.188528, 56.973893
8.606709, 57.208744
9.020080, 57.337532
9.455342, 57.390481
