# Aggregate rate-distortion data for "JPEG (4:2:0)" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.080893, 24.327537
0.081018, 24.332928
0.088910, 24.732023
0.106636, 26.072195
0.123852, 27.021193
0.141670, 27.914412
0.158537, 28.577603
0.174324, 29.133636
0.190644, 29.578348
0.206045, 30.090295
0.220674, 30.461491
0.232758, 30.756586
0.247296, 31.097916
0.258813, 31.337679
0.271227, 31.602308
0.283514, 31.814614
0.294794, 32.039952
0.306693, 32.257390
0.316021, 32.419416
0.325544, 32.577634
0.336531, 32.756774
0.347237, 32.924605
0.356780, 33.079715
0.366457, 33.226124
0.376003, 33.372197
0.383619, 33.463429
0.393325, 33.594791
0.403292, 33.733291
0.411078, 33.842962
0.420514, 33.972083
0.427851, 34.065722
0.434691, 34.152165
0.445165, 34.299060
0.451180, 34.359404
0.460096, 34.467661
0.468173, 34.568189
0.475846, 34.656798
0.485164, 34.769810
0.492069, 34.846105
0.496070, 34.903916
0.506168, 35.010809
0.511996, 35.056331
0.517782, 35.140019
0.526871, 35.223659
0.534302, 35.303604
0.541775, 35.392792
0.544166, 35.427734
0.551982, 35.480018
0.564941, 35.646645
0.566560, 35.672706
0.568394, 35.700264
0.580192, 35.819468
0.589279, 35.881063
0.593171, 35.928042
0.600511, 36.006052
0.606344, 36.073931
0.617802, 36.148674
0.628228, 36.263820
0.633108, 36.321497
0.640478, 36.395728
0.653266, 36.482404
0.660620, 36.546646
0.672255, 36.671985
0.678251, 36.734963
0.691664, 36.853222
0.704439, 36.951158
0.712718, 37.035442
0.727615, 37.180520
0.741545, 37.270932
0.760001, 37.468255
0.779021, 37.593288
0.786323, 37.668863
0.804032, 37.783374
0.825461, 37.991618
0.830471, 38.047259
0.850898, 38.191191
0.878543, 38.413660
0.911103, 38.634203
0.933494, 38.839278
0.972587, 39.062360
0.996139, 39.252547
1.020809, 39.359668
1.039178, 39.482903
1.056210, 39.592485
1.093821, 39.768318
1.145786, 40.055773
1.185063, 40.353550
1.235576, 40.649159
1.411676, 41.751962
1.503783, 42.200751
1.609673, 42.738809
1.673701, 43.111691
1.723859, 43.142569
1.824245, 43.175146
1.843451, 43.182817
1.955606, 43.409078
2.511484, 45.799068
3.266837, 48.393058
3.524116, 48.686512
3.677092, 48.809820
