# Aggregate rate-distortion data for "WebP" on tecnick.
# The first column contains bits per pixel (bpp) values.
# The second column contains PSNR/sRGB/Y' values.
#
# Notes:
#  1. Aggregate values were calculated by averaging over a constant QP value.
#
# If you have questions or corrections, please contact:
#  David Minnen (dminnen@google.com) or George Toderici (gtoderici@google.com).

0.093404, 28.003189
0.127631, 29.139208
0.140521, 29.546419
0.150833, 29.849755
0.159929, 30.116653
0.167930, 30.331347
0.176115, 30.546793
0.183746, 30.746698
0.190360, 30.902349
0.197545, 31.073255
0.203751, 31.231289
0.210186, 31.379247
0.216157, 31.513250
0.222584, 31.657723
0.228802, 31.784989
0.234622, 31.926094
0.240852, 32.044776
0.246943, 32.160201
0.253091, 32.280464
0.259352, 32.403386
0.265518, 32.543869
0.272440, 32.659848
0.278517, 32.770630
0.284902, 32.877615
0.290683, 32.977849
0.297215, 33.076386
0.303421, 33.182867
0.310307, 33.290274
0.318242, 33.404941
0.324709, 33.508397
0.331542, 33.617846
0.339010, 33.721915
0.345314, 33.824344
0.351703, 33.924201
0.359383, 34.031769
0.365587, 34.134380
0.372424, 34.233423
0.380100, 34.328342
0.386700, 34.412548
0.394007, 34.525208
0.400009, 34.622234
0.408211, 34.717616
0.415243, 34.820874
0.422245, 34.926580
0.430452, 35.032990
0.435958, 35.097321
0.442638, 35.194263
0.450107, 35.300455
0.456617, 35.397055
0.465768, 35.480651
0.471774, 35.545768
0.479629, 35.651115
0.486061, 35.741514
0.496175, 35.845333
0.501046, 35.901336
0.509120, 35.999559
0.515945, 36.090498
0.522302, 36.169619
0.533259, 36.227324
0.540184, 36.306482
0.547194, 36.384290
0.552736, 36.433274
0.561568, 36.512001
0.567693, 36.586268
0.581901, 36.669487
0.587817, 36.724184
0.596314, 36.811052
0.603953, 36.891845
0.611217, 36.955245
0.619725, 37.046876
0.634085, 37.132640
0.641052, 37.194979
0.650219, 37.284861
0.659169, 37.368233
0.667377, 37.426293
0.675865, 37.505966
0.715040, 37.756546
0.745411, 38.008921
0.786728, 38.269820
0.820645, 38.531957
0.859520, 38.785869
0.919767, 39.064898
0.962979, 39.356943
1.022765, 39.658440
1.073323, 39.947169
1.131928, 40.282591
1.212859, 40.632440
1.277568, 40.940363
1.358104, 41.307115
1.458233, 41.733364
1.553875, 42.135702
1.657441, 42.569584
1.788354, 43.067207
1.964316, 43.610616
2.138186, 44.231931
2.324781, 44.821482
2.551765, 45.505254
2.752932, 45.993566
2.974106, 46.594052
3.202178, 47.085551
3.328048, 47.322893
